P,S,Q,PF
604.55,626.38,163.924,-0.965149
603.912,625.741,163.838,-0.965114
604.754,626.367,163.118,-0.965496
604.64,626.315,163.345,-0.965392
605.01,626.624,163.158,-0.965507
605.65,627.33,163.496,-0.965441
605.102,626.674,163.007,-0.965578
605.938,627.316,162.373,-0.965921
605.706,627.338,163.318,-0.965518
605.89,627.355,162.702,-0.965785
606.617,628.114,162.921,-0.965775
606.367,627.832,162.765,-0.965811
607.188,628.375,161.794,-0.966284
607.316,628.941,163.506,-0.965617
606.837,628.351,163.014,-0.965762
607.818,629.407,163.437,-0.965698
607.53,629.115,163.383,-0.965689
607.767,629.2,162.826,-0.965935
608.298,630.069,164.198,-0.965446
608.147,629.772,163.617,-0.965662
609.031,630.272,162.246,-0.966299
609.083,630.438,162.697,-0.966126
608.703,629.983,162.356,-0.966221
609.815,631.321,163.378,-0.965934
609.116,630.476,162.718,-0.966121
609.547,630.674,161.871,-0.966501
609.779,631.252,163.245,-0.965983
608.78,630.349,163.486,-0.965781
609.091,630.412,162.566,-0.966179
609.062,630.54,163.17,-0.965937
608.451,629.915,163.034,-0.965926
609.289,630.973,163.992,-0.965635
608.753,630.48,164.088,-0.965539
608.619,630.118,163.19,-0.965882
609.271,630.724,163.099,-0.965987
608.78,630.53,164.18,-0.965505
609.435,630.952,163.371,-0.965897
610.534,632.061,163.552,-0.965942
609.54,631.047,163.344,-0.965919
610.265,631.639,162.924,-0.966161
610.749,632.51,164.481,-0.965597
609.959,631.509,163.568,-0.965874
611.045,632.365,162.816,-0.966286
611.088,632.705,163.972,-0.965834
610.659,632.378,164.309,-0.965655
611.845,633.329,163.56,-0.966077
611.916,633.315,163.24,-0.96621
612.033,633.265,162.605,-0.966472
613.152,634.419,162.889,-0.966477
613.221,634.595,163.312,-0.966319
614.066,635.6,164.043,-0.966121
615.138,636.783,164.613,-0.966009
615.227,637.028,165.228,-0.965777
615.68,637.39,164.939,-0.965938
616.586,638.199,164.679,-0.966135
616.538,638.158,164.704,-0.96612
616.065,637.61,164.347,-0.96621
