P,S,Q,PF
109.769,174.414,135.54,0.629356
109.749,174.351,135.474,0.629474
109.645,174.337,135.541,0.628926
109.543,174.104,135.323,0.629182
109.502,174.227,135.515,0.6285
109.556,174.281,135.541,0.628617
109.521,174.055,135.278,0.629234
109.664,174.168,135.308,0.629646
109.597,174.264,135.486,0.628915
109.678,174.305,135.474,0.629229
109.536,174.212,135.468,0.628752
109.641,174.084,135.219,0.629814
109.444,173.928,135.178,0.629246
109.523,173.933,135.119,0.629687
109.473,173.958,135.193,0.629306
109.383,174.011,135.334,0.628595
109.335,173.851,135.167,0.628899
109.2,173.925,135.37,0.627859
109.041,173.625,135.114,0.628023
108.804,173.353,134.955,0.627644
108.848,173.188,134.707,0.6285
108.861,173.386,134.951,0.627856
108.869,173.283,134.813,0.628274
108.75,173.125,134.706,0.628157
108.938,173.385,134.888,0.628301
108.955,173.432,134.936,0.628227
108.81,173.167,134.712,0.628351
108.941,173.46,134.982,0.628051
108.669,173.375,135.092,0.626786
108.844,173.51,135.125,0.627305
108.663,173.357,135.074,0.626815
108.619,173.267,134.994,0.626886
108.598,173.374,135.148,0.626381
108.581,173.163,134.891,0.627044
108.469,173.201,135.031,0.626257
108.443,173.119,134.946,0.626405
108.457,172.931,134.693,0.62717
108.343,173.039,134.923,0.626119
108.429,173.215,135.08,0.625978
108.383,173.284,135.205,0.625467
108.411,173.477,135.43,0.624932
108.359,173.327,135.28,0.625169
108.303,173.32,135.315,0.624872
108.214,173.459,135.565,0.62386
108.219,173.387,135.468,0.62415
108.287,173.387,135.414,0.624542
108.229,173.277,135.32,0.624599
108.244,173.345,135.395,0.624444
108.26,173.316,135.344,0.624642
108.229,173.213,135.237,0.624836
108.282,173.226,135.211,0.625093
108.296,173.354,135.365,0.62471
108.419,173.398,135.323,0.625257
108.114,173.273,135.406,0.623953
108.025,172.934,135.044,0.624658
107.982,173.048,135.224,0.624002
108.191,173.032,135.036,0.625267
107.994,172.963,135.105,0.624376
108.014,173.114,135.283,0.623949
